Geo Point;Geo Shape;Eindeutiger Identifikator des Unfalls;Beschreibung zum Unfalltyp;Beschreibung der Unfallschwerekategorie;Unfalljahr;Unfallmonat;Unfallstunde;Wochentag;Strassenart;Fussgängerbeteiligung;Fahrradbeteiligung;Motorradbeteiligung
47.56088696784744, 7.595820672551642;"{""coordinates"": [7.595820672551642, 47.56088696784744], ""type"": ""Point""}";26579;Parkierunfall;1 Unfall mit Sachschaden;2014;6;11;5 Freitag;Nebenstrasse;False;False;False
47.54472701648764, 7.57278018521027;"{""coordinates"": [7.57278018521027, 47.54472701648764], ""type"": ""Point""}";26594;Parkierunfall;3 Unfall mit Schwerverletzten;2023;6;15;5 Freitag;Hauptstrasse;False;True;False
47.562829800459674, 7.595680229276302;"{""coordinates"": [7.595680229276302, 47.562829800459674], ""type"": ""Point""}";26597;Parkierunfall;1 Unfall mit Sachschaden;2020;9;9;5 Freitag;Nebenstrasse;False;False;False
47.55823724456287, 7.579045418158853;"{""coordinates"": [7.579045418158853, 47.55823724456287], ""type"": ""Point""}";26602;Parkierunfall;1 Unfall mit Sachschaden;2020;10;14;1 Montag;Nebenstrasse;False;False;False
47.56865017472315, 7.5805212893847616;"{""coordinates"": [7.580521289384762, 47.56865017472315], ""type"": ""Point""}";26605;Parkierunfall;1 Unfall mit Sachschaden;2015;9;14;4 Donnerstag;Nebenstrasse;False;False;False
47.562690435543544, 7.59227821148024;"{""coordinates"": [7.59227821148024, 47.562690435543544], ""type"": ""Point""}";26606;Parkierunfall;1 Unfall mit Sachschaden;2016;4;10;1 Montag;Nebenstrasse;False;False;False
47.54440235044806, 7.59513457497022;"{""coordinates"": [7.59513457497022, 47.54440235044806], ""type"": ""Point""}";26612;Parkierunfall;1 Unfall mit Sachschaden;2021;7;15;4 Donnerstag;Nebenstrasse;False;False;False
47.55993782783843, 7.599338891622751;"{""coordinates"": [7.599338891622751, 47.55993782783843], ""type"": ""Point""}";26633;Parkierunfall;1 Unfall mit Sachschaden;2016;9;13;1 Montag;Nebenstrasse;False;False;False
47.562915633323215, 7.598696764265262;"{""coordinates"": [7.598696764265262, 47.562915633323215], ""type"": ""Point""}";26635;Parkierunfall;1 Unfall mit Sachschaden;2014;4;19;3 Mittwoch;Nebenstrasse;False;False;False
47.593256725935596, 7.656342718116989;"{""coordinates"": [7.656342718116989, 47.593256725935596], ""type"": ""Point""}";26636;Parkierunfall;1 Unfall mit Sachschaden;2014;2;14;3 Mittwoch;Nebenstrasse;False;False;False
47.55034040673874, 7.600133641460221;"{""coordinates"": [7.600133641460221, 47.55034040673874], ""type"": ""Point""}";26645;Parkierunfall;1 Unfall mit Sachschaden;2014;3;11;4 Donnerstag;Nebenstrasse;False;False;False
47.5567905212398, 7.5702462531799855;"{""coordinates"": [7.570246253179985, 47.5567905212398], ""type"": ""Point""}";26647;Parkierunfall;1 Unfall mit Sachschaden;2012;11;;6 Samstag;Nebenstrasse;False;False;False
47.5522907785315, 7.619362838457561;"{""coordinates"": [7.619362838457561, 47.5522907785315], ""type"": ""Point""}";26684;Parkierunfall;1 Unfall mit Sachschaden;2015;11;9;2 Dienstag;Nebenstrasse;False;False;False
47.56807493833107, 7.564533247871855;"{""coordinates"": [7.564533247871855, 47.56807493833107], ""type"": ""Point""}";26697;Parkierunfall;1 Unfall mit Sachschaden;2013;2;;2 Dienstag;Nebenstrasse;False;False;False
47.556885577515885, 7.588368690333313;"{""coordinates"": [7.588368690333313, 47.556885577515885], ""type"": ""Point""}";26708;Parkierunfall;1 Unfall mit Sachschaden;2015;7;9;3 Mittwoch;Nebenstrasse;False;False;False
47.561615230901, 7.574536628227967;"{""coordinates"": [7.574536628227967, 47.561615230901], ""type"": ""Point""}";26731;Parkierunfall;1 Unfall mit Sachschaden;2016;7;13;7 Sonntag;Hauptstrasse;False;False;False
47.5462085813699, 7.620909682732435;"{""coordinates"": [7.620909682732435, 47.5462085813699], ""type"": ""Point""}";26745;Parkierunfall;1 Unfall mit Sachschaden;2017;3;14;4 Donnerstag;Nebenstrasse;False;False;False
47.56370167292596, 7.574621660868719;"{""coordinates"": [7.574621660868719, 47.56370167292596], ""type"": ""Point""}";26756;Parkierunfall;1 Unfall mit Sachschaden;2016;7;17;4 Donnerstag;Nebenstrasse;False;False;False
47.56117063991603, 7.598850978182047;"{""coordinates"": [7.598850978182047, 47.56117063991603], ""type"": ""Point""}";26762;Parkierunfall;1 Unfall mit Sachschaden;2016;6;16;5 Freitag;Hauptstrasse;False;False;False
47.57027048731289, 7.664940116861885;"{""coordinates"": [7.664940116861885, 47.57027048731289], ""type"": ""Point""}";26774;Parkierunfall;1 Unfall mit Sachschaden;2015;8;18;1 Montag;Nebenstrasse;False;False;False
47.54492198469515, 7.58274298276118;"{""coordinates"": [7.58274298276118, 47.54492198469515], ""type"": ""Point""}";26782;Parkierunfall;1 Unfall mit Sachschaden;2015;7;13;4 Donnerstag;andere;False;False;False
47.56015185559983, 7.594051351311382;"{""coordinates"": [7.594051351311382, 47.56015185559983], ""type"": ""Point""}";26790;Parkierunfall;1 Unfall mit Sachschaden;2012;2;13;4 Donnerstag;andere;False;False;False
47.54692831262562, 7.566715113667888;"{""coordinates"": [7.566715113667888, 47.54692831262562], ""type"": ""Point""}";26795;Parkierunfall;1 Unfall mit Sachschaden;2015;12;7;5 Freitag;Nebenstrasse;False;False;False
47.56833401812417, 7.5741151811495415;"{""coordinates"": [7.574115181149542, 47.56833401812417], ""type"": ""Point""}";26798;Parkierunfall;1 Unfall mit Sachschaden;2016;12;14;1 Montag;Nebenstrasse;False;False;False
47.56748291291499, 7.606178728069559;"{""coordinates"": [7.606178728069559, 47.56748291291499], ""type"": ""Point""}";26800;Parkierunfall;1 Unfall mit Sachschaden;2015;12;17;2 Dienstag;Nebenstrasse;False;False;False
47.56677376444838, 7.577805441702371;"{""coordinates"": [7.577805441702371, 47.56677376444838], ""type"": ""Point""}";26805;Parkierunfall;1 Unfall mit Sachschaden;2015;8;9;6 Samstag;Nebenstrasse;False;False;False
47.5835280316514, 7.592856609954678;"{""coordinates"": [7.592856609954678, 47.5835280316514], ""type"": ""Point""}";26815;Parkierunfall;1 Unfall mit Sachschaden;2011;1;;5 Freitag;Nebenstrasse;False;False;False
47.55063588469329, 7.587620524075482;"{""coordinates"": [7.587620524075482, 47.55063588469329], ""type"": ""Point""}";26816;Parkierunfall;1 Unfall mit Sachschaden;2012;4;21;3 Mittwoch;andere;False;False;False
47.54962106560873, 7.586461963530248;"{""coordinates"": [7.586461963530248, 47.54962106560873], ""type"": ""Point""}";26835;Parkierunfall;2 Unfall mit Leichtverletzten;2015;9;16;4 Donnerstag;Nebenstrasse;False;True;False
47.55969395313036, 7.563463860924703;"{""coordinates"": [7.563463860924703, 47.55969395313036], ""type"": ""Point""}";26836;Parkierunfall;1 Unfall mit Sachschaden;2014;3;8;5 Freitag;Nebenstrasse;False;False;False
47.565155342929486, 7.604922334444238;"{""coordinates"": [7.604922334444238, 47.565155342929486], ""type"": ""Point""}";26837;Parkierunfall;1 Unfall mit Sachschaden;2018;9;6;1 Montag;Nebenstrasse;False;False;False
47.58959325812709, 7.59017540022164;"{""coordinates"": [7.59017540022164, 47.58959325812709], ""type"": ""Point""}";26864;Parkierunfall;1 Unfall mit Sachschaden;2015;7;14;4 Donnerstag;andere;False;False;False
47.562978369941476, 7.598856403623943;"{""coordinates"": [7.598856403623943, 47.562978369941476], ""type"": ""Point""}";26879;Parkierunfall;1 Unfall mit Sachschaden;2012;8;;4 Donnerstag;Nebenstrasse;False;False;False
47.562476325851925, 7.583906486056775;"{""coordinates"": [7.583906486056775, 47.562476325851925], ""type"": ""Point""}";26895;Parkierunfall;3 Unfall mit Schwerverletzten;2024;4;15;4 Donnerstag;Nebenstrasse;False;True;False
47.56210240169698, 7.594867559256756;"{""coordinates"": [7.594867559256756, 47.56210240169698], ""type"": ""Point""}";26913;Parkierunfall;1 Unfall mit Sachschaden;2017;5;10;4 Donnerstag;Nebenstrasse;False;False;False
47.56977758227402, 7.611461789126334;"{""coordinates"": [7.611461789126334, 47.56977758227402], ""type"": ""Point""}";26928;Parkierunfall;1 Unfall mit Sachschaden;2013;3;;2 Dienstag;Nebenstrasse;False;False;False
47.56902819248344, 7.607313155187423;"{""coordinates"": [7.607313155187423, 47.56902819248344], ""type"": ""Point""}";26930;Parkierunfall;1 Unfall mit Sachschaden;2016;5;15;1 Montag;Hauptstrasse;False;False;False
47.5722867897949, 7.6640582535412545;"{""coordinates"": [7.664058253541254, 47.5722867897949], ""type"": ""Point""}";26948;Parkierunfall;1 Unfall mit Sachschaden;2018;3;9;1 Montag;Nebenstrasse;False;False;False
47.56802991264026, 7.5645862972835385;"{""coordinates"": [7.564586297283538, 47.56802991264026], ""type"": ""Point""}";26949;Parkierunfall;1 Unfall mit Sachschaden;2011;5;;3 Mittwoch;Nebenstrasse;False;False;False
47.56438506378459, 7.589359737821201;"{""coordinates"": [7.589359737821201, 47.56438506378459], ""type"": ""Point""}";26956;Parkierunfall;1 Unfall mit Sachschaden;2022;4;17;4 Donnerstag;Nebenstrasse;False;False;False
47.57374084256531, 7.580322167370601;"{""coordinates"": [7.580322167370601, 47.57374084256531], ""type"": ""Point""}";26988;Parkierunfall;1 Unfall mit Sachschaden;2015;10;15;4 Donnerstag;andere;False;False;False
47.59366220634078, 7.655932220580481;"{""coordinates"": [7.655932220580481, 47.59366220634078], ""type"": ""Point""}";26999;Parkierunfall;1 Unfall mit Sachschaden;2017;2;14;1 Montag;Nebenstrasse;False;False;False
47.55467021069069, 7.576126517119378;"{""coordinates"": [7.576126517119378, 47.55467021069069], ""type"": ""Point""}";27002;Parkierunfall;2 Unfall mit Leichtverletzten;2020;4;9;3 Mittwoch;Hauptstrasse;False;True;False
47.55675954182873, 7.6142229869811535;"{""coordinates"": [7.614222986981154, 47.55675954182873], ""type"": ""Point""}";27033;Parkierunfall;1 Unfall mit Sachschaden;2011;8;6;4 Donnerstag;Nebenstrasse;False;False;False
47.562846028961836, 7.5756824886694885;"{""coordinates"": [7.575682488669488, 47.562846028961836], ""type"": ""Point""}";27039;Parkierunfall;1 Unfall mit Sachschaden;2015;6;23;3 Mittwoch;Nebenstrasse;False;False;False
47.58295266879719, 7.5926821436257494;"{""coordinates"": [7.592682143625749, 47.58295266879719], ""type"": ""Point""}";27042;Parkierunfall;1 Unfall mit Sachschaden;2013;8;;5 Freitag;Nebenstrasse;False;False;False
47.58275077597838, 7.58887989028452;"{""coordinates"": [7.58887989028452, 47.58275077597838], ""type"": ""Point""}";27044;Parkierunfall;1 Unfall mit Sachschaden;2015;12;19;2 Dienstag;Hauptstrasse;False;False;False
47.57032853860196, 7.615888960902677;"{""coordinates"": [7.615888960902677, 47.57032853860196], ""type"": ""Point""}";27045;Parkierunfall;1 Unfall mit Sachschaden;2015;7;17;4 Donnerstag;andere;False;False;False
47.537286663736616, 7.596322314447528;"{""coordinates"": [7.596322314447528, 47.537286663736616], ""type"": ""Point""}";27053;Parkierunfall;1 Unfall mit Sachschaden;2011;9;10;1 Montag;Nebenstrasse;False;False;False
